arrangement_id,event_id,arrangement_xid,event_xid,arrangement_name,event_name,category,start_at,end_at,location_name,description
109444,292684,,,PianoFest,,"CCPA Performance-Music","2026-03-26 07:30:00","2026-03-26 22:30:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,335579,,,"Student Recital - Open",,"Student Recital","2026-03-26 19:30:00","2026-03-26 20:30:00","Gage Gallery | Auditorium Building, room 178",
109444,292685,,,PianoFest,,"CCPA Performance-Music","2026-03-27 07:30:00","2026-03-27 22:30:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,335581,,,"Student Recital - Open",,"Student Recital","2026-03-27 19:30:00","2026-03-27 20:30:00","Gage Gallery | Auditorium Building, room 178",
115256,305156,,,"Natasha, Pierre & The Great Comet of 1812",,"CCPA Performance-Theatre","2026-03-27 19:30:00","2026-03-27 21:30:00","O'Malley Theatre | Auditorium Building, room 773",
109445,292687,,,"Orleans International Piano Competition",,Event-CCPA,"2026-03-28 07:30:00","2026-03-28 22:30:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,336050,,,"Student Recital - Open",,"Student Recital","2026-03-28 12:00:00","2026-03-28 13:00:00","Gage Gallery | Auditorium Building, room 178",
124494,336122,,,"Student Recital - Open",,"Student Recital","2026-03-28 14:30:00","2026-03-28 15:30:00","Gage Gallery | Auditorium Building, room 178",
124494,336190,,,"Student Recital - Open",,"Student Recital","2026-03-28 17:00:00","2026-03-28 18:00:00","Gage Gallery | Auditorium Building, room 178",
124494,335583,,,"Student Recital - Open",,"Student Recital","2026-03-28 19:30:00","2026-03-28 20:30:00","Gage Gallery | Auditorium Building, room 178",
115256,305159,,,"Natasha, Pierre & The Great Comet of 1812",,"CCPA Performance-Theatre","2026-03-28 19:30:00","2026-03-28 21:30:00","O'Malley Theatre | Auditorium Building, room 773",
109445,292688,,,"Orleans International Piano Competition",,Event-CCPA,"2026-03-29 07:30:00","2026-03-29 22:30:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,336052,,,"Student Recital - Open",,"Student Recital","2026-03-29 12:00:00","2026-03-29 13:00:00","Gage Gallery | Auditorium Building, room 178",
115256,305162,,,"Natasha, Pierre & The Great Comet of 1812",,"CCPA Performance-Theatre","2026-03-29 14:00:00","2026-03-29 16:00:00","O'Malley Theatre | Auditorium Building, room 773",
124494,336124,,,"Student Recital - Open",,"Student Recital","2026-03-29 14:30:00","2026-03-29 15:30:00","Gage Gallery | Auditorium Building, room 178",
124494,336192,,,"Student Recital - Open",,"Student Recital","2026-03-29 17:00:00","2026-03-29 18:00:00","Gage Gallery | Auditorium Building, room 178",
109444,292686,,,PianoFest,,"CCPA Performance-Music","2026-03-30 07:30:00","2026-03-30 22:30:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
111753,310688,,,"CCPA Jazz Combo Concert",,"CCPA Performance-Interdisciplinary","2026-03-30 19:00:00","2026-03-30 21:00:00","Jazz Showcase | 806 S. Plymouth Ct, Chicago, IL 60605",
124494,335894,,,"Student Recital - Open",,"Student Recital","2026-03-31 17:00:00","2026-03-31 18:00:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,335585,,,"Student Recital - Open",,"Student Recital","2026-03-31 19:30:00","2026-03-31 20:30:00","Gage Gallery | Auditorium Building, room 178",
124494,335701,,,"Student Recital - Open",,"Student Recital","2026-03-31 19:30:00","2026-03-31 20:30:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,335587,,,"Student Recital - Open",,"Student Recital","2026-04-01 19:30:00","2026-04-01 20:30:00","Gage Gallery | Auditorium Building, room 178",
116908,310692,,,"Faculty Composition Recital",,"CCPA Performance-Interdisciplinary","2026-04-01 19:30:00","2026-04-01 21:00:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
111751,310704,,,"String Ensemble",,"CCPA Performance-Music","2026-04-02 17:00:00","2026-04-02 19:00:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,335589,,,"Student Recital - Open",,"Student Recital","2026-04-02 19:30:00","2026-04-02 20:30:00","Gage Gallery | Auditorium Building, room 178",
124494,335896,,,"Student Recital - Open",,"Student Recital","2026-04-03 17:00:00","2026-04-03 18:00:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,335591,,,"Student Recital - Open",,"Student Recital","2026-04-03 19:30:00","2026-04-03 20:30:00","Gage Gallery | Auditorium Building, room 178",
124494,335703,,,"Student Recital - Open",,"Student Recital","2026-04-03 19:30:00","2026-04-03 20:30:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,336054,,,"Student Recital - Open",,"Student Recital","2026-04-04 12:00:00","2026-04-04 13:00:00","Gage Gallery | Auditorium Building, room 178",
124494,336056,,,"Student Recital - Open",,"Student Recital","2026-04-04 12:00:00","2026-04-04 13:00:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,336126,,,"Student Recital - Open",,"Student Recital","2026-04-04 14:30:00","2026-04-04 15:30:00","Gage Gallery | Auditorium Building, room 178",
124494,336128,,,"Student Recital - Open",,"Student Recital","2026-04-04 14:30:00","2026-04-04 15:30:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,335898,,,"Student Recital - Open",,"Student Recital","2026-04-04 17:00:00","2026-04-04 18:00:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,336194,,,"Student Recital - Open",,"Student Recital","2026-04-04 17:00:00","2026-04-04 18:00:00","Gage Gallery | Auditorium Building, room 178",
124494,335593,,,"Student Recital - Open",,"Student Recital","2026-04-04 19:30:00","2026-04-04 20:30:00","Gage Gallery | Auditorium Building, room 178",
124494,335705,,,"Student Recital - Open",,"Student Recital","2026-04-04 19:30:00","2026-04-04 20:30:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,336058,,,"Student Recital - Open",,"Student Recital","2026-04-05 12:00:00","2026-04-05 13:00:00","Gage Gallery | Auditorium Building, room 178",
124494,336060,,,"Student Recital - Open",,"Student Recital","2026-04-05 12:00:00","2026-04-05 13:00:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,336130,,,"Student Recital - Open",,"Student Recital","2026-04-05 14:30:00","2026-04-05 15:30:00","Gage Gallery | Auditorium Building, room 178",
124494,336132,,,"Student Recital - Open",,"Student Recital","2026-04-05 14:30:00","2026-04-05 15:30:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,335900,,,"Student Recital - Open",,"Student Recital","2026-04-05 17:00:00","2026-04-05 18:00:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,336196,,,"Student Recital - Open",,"Student Recital","2026-04-05 17:00:00","2026-04-05 18:00:00","Gage Gallery | Auditorium Building, room 178",
124494,335902,,,"Student Recital - Open",,"Student Recital","2026-04-06 17:00:00","2026-04-06 18:00:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,335707,,,"Student Recital - Open",,"Student Recital","2026-04-06 19:30:00","2026-04-06 20:30:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,335904,,,"Student Recital - Open",,"Student Recital","2026-04-07 17:00:00","2026-04-07 18:00:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
123007,332480,,,"Songs @ Six",,"CCPA Performance-Music","2026-04-07 18:00:00","2026-04-07 19:00:00","Sullivan Room | Auditorium Building, room 220",
124494,335595,,,"Student Recital - Open",,"Student Recital","2026-04-07 19:30:00","2026-04-07 20:30:00","Gage Gallery | Auditorium Building, room 178",
124494,335709,,,"Student Recital - Open",,"Student Recital","2026-04-07 19:30:00","2026-04-07 20:30:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,335906,,,"Student Recital - Open",,"Student Recital","2026-04-08 17:00:00","2026-04-08 18:00:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,335597,,,"Student Recital - Open",,"Student Recital","2026-04-08 19:30:00","2026-04-08 20:30:00","Gage Gallery | Auditorium Building, room 178",
124494,335711,,,"Student Recital - Open",,"Student Recital","2026-04-08 19:30:00","2026-04-08 20:30:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
111750,312442,,,"Brass Ensemble",,"CCPA Performance-Music","2026-04-09 17:00:00","2026-04-09 19:00:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,335599,,,"Student Recital - Open",,"Student Recital","2026-04-09 19:30:00","2026-04-09 20:30:00","Gage Gallery | Auditorium Building, room 178",
124494,335908,,,"Student Recital - Open",,"Student Recital","2026-04-10 17:00:00","2026-04-10 18:00:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,335601,,,"Student Recital - Open",,"Student Recital","2026-04-10 19:30:00","2026-04-10 20:30:00","Gage Gallery | Auditorium Building, room 178",
124494,335713,,,"Student Recital - Open",,"Student Recital","2026-04-10 19:30:00","2026-04-10 20:30:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
115260,305178,,,Orlando,,"CCPA Performance-Theatre","2026-04-10 19:30:00","2026-04-10 21:30:00","Miller Studio Theatre | Auditorium Building, room 980",
124494,336062,,,"Student Recital - Open",,"Student Recital","2026-04-11 12:00:00","2026-04-11 13:00:00","Gage Gallery | Auditorium Building, room 178",
124494,336134,,,"Student Recital - Open",,"Student Recital","2026-04-11 14:30:00","2026-04-11 15:30:00","Gage Gallery | Auditorium Building, room 178",
124494,336198,,,"Student Recital - Open",,"Student Recital","2026-04-11 17:00:00","2026-04-11 18:00:00","Gage Gallery | Auditorium Building, room 178",
124494,335603,,,"Student Recital - Open",,"Student Recital","2026-04-11 19:30:00","2026-04-11 20:30:00","Gage Gallery | Auditorium Building, room 178",
115260,305182,,,Orlando,,"CCPA Performance-Theatre","2026-04-11 19:30:00","2026-04-11 21:30:00","Miller Studio Theatre | Auditorium Building, room 980",
124494,336064,,,"Student Recital - Open",,"Student Recital","2026-04-12 12:00:00","2026-04-12 13:00:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,336260,,,"Student Recital - Open",,"Student Recital","2026-04-12 12:00:00","2026-04-12 13:00:00","Sullivan Room | Auditorium Building, room 220",
115260,305185,,,Orlando,,"CCPA Performance-Theatre","2026-04-12 14:00:00","2026-04-12 16:00:00","Miller Studio Theatre | Auditorium Building, room 980",
124494,336136,,,"Student Recital - Open",,"Student Recital","2026-04-12 14:30:00","2026-04-12 15:30:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,336263,,,"Student Recital - Open",,"Student Recital","2026-04-12 14:30:00","2026-04-12 15:30:00","Sullivan Room | Auditorium Building, room 220",
124494,335910,,,"Student Recital - Open",,"Student Recital","2026-04-12 17:00:00","2026-04-12 18:00:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
